Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on equity,Debt,Sustainable Growth Rate,Graham,Sales growth 3Years,Profit growth 3Years,Profit after tax,OPM,Return on capital employed,Sales latest quarter,Return on assets,Debt to equity,Equity capital,Working capital,Free cash flow last year,Free cash flow preceding year
Metal Coatings,531810,,Steel - Medium / Small,71.50,52.39,26.33,1.27,6.53,0.00,6.53,58.59,21.23,-0.92,1.99,2.91,8.16,39.02,5.49,0.00,7.33,35.43,2.26,9.87
Modern Steels,513303,,Steel - Medium / Small,16.27,22.39,25.44,1.68,4.42,0.21,4.42,11.80,,26.53,0.88,,4.19,0.00,4.11,0.02,14.40,13.45,0.47,0.34
MSP Steel & Pow.,532650,MSPL,Steel - Medium / Small,26.94,1313.30,71.03,2.27,2.63,737.22,2.63,11.41,18.59,43.26,18.49,3.93,7.92,716.85,0.87,1.27,487.49,439.31,124.82,32.07
Mukand,500460,MUKANDLTD,Steel - Large,100.60,1453.63,15.45,1.55,11.46,1479.98,8.24,97.63,23.82,28.36,94.08,6.01,10.78,1262.27,3.27,1.57,144.51,1784.69,12.32,725.56
Mukat Pipes,523832,,Steel - Medium / Small,16.80,19.87,152.85,,,3.62,,,0.81,74.72,0.13,-2.62,,1.16,6.22,,5.92,0.57,1.30,0.06
Natl. Gen. Inds.,531651,,Steel - Medium / Small,56.00,30.97,24.39,0.86,3.23,0.95,3.23,58.15,-11.51,47.08,1.27,-1.86,3.68,2.63,2.90,0.03,4.74,10.86,2.62,0.98
Newmalayalam,,NMSTEEL,Steel - Medium / Small,27.50,47.54,11.13,,11.14,39.18,11.14,,0.04,-17.63,4.27,2.45,10.71,154.21,4.28,0.86,12.65,65.65,-21.90,30.58
NMDC Steel,543768,NSLNISP,Steel - Medium / Small,35.21,10318.66,,,-9.59,6513.22,-9.59,,,,-2761.23,-32.66,-8.69,2119.54,-5.68,0.45,2930.61,723.25,-3316.59,-639.21
Nova Iron &Steel,513566,,Steel - Sponge Iron,13.77,49.76,,,,406.15,,,17.81,,-10.96,1.67,-14.35,97.73,-7.39,,36.14,8.42,-46.78,9.30
Oil Country,500313,OILCOUNTUB,Steel - Medium / Small,68.08,325.69,,1.69,-31.48,86.68,-31.48,,101.48,-14.51,-35.49,34.24,-23.31,41.21,-15.07,0.49,44.29,33.70,-16.98,169.08
P S Raj,,PSRAJ,Steel - Medium / Small,140.00,105.54,16.62,,23.13,17.25,23.13,,,,6.35,3.65,22.05,139.11,10.06,0.50,0.61,46.80,4.32,1.89
Panchmahal Steel,513511,,Steel - Medium / Small,175.30,334.47,42.94,2.08,1.91,41.67,1.91,87.95,8.05,-28.69,7.79,5.39,5.55,94.72,1.12,0.26,19.08,145.62,38.10,-36.67
Pennar Industrie,513228,PENIND,Steel - Medium / Small,182.20,2458.72,21.89,2.64,11.78,851.60,11.78,113.66,27.08,118.91,112.31,9.33,15.70,839.72,3.93,0.91,67.47,723.91,-21.89,172.81
Prakash Industri,506022,PRAKASH,Steel - Medium / Small,172.00,3080.21,8.72,0.97,10.42,377.94,9.78,280.35,4.58,48.80,353.39,12.58,10.58,925.95,7.50,0.12,179.08,403.32,208.54,128.47
Prakash Steelage,533239,PRAKASHSTL,Steel - Medium / Small,6.61,115.68,68.05,14.33,,3.98,,4.63,62.90,90.22,1.70,1.11,,19.24,60.17,0.49,17.50,5.55,28.50,5.63
Quality Foils,,QFIL,Steel - Medium / Small,75.75,21.62,14.41,0.73,4.78,45.06,4.78,110.65,7.66,12.54,1.50,2.73,6.82,77.02,1.84,1.52,2.85,37.01,8.94,9.55
Rajas. Tube Mfg,530253,,Steel - Medium / Small,287.00,129.44,264.16,14.75,5.75,6.90,5.75,21.81,1.95,-4.35,0.49,3.16,10.79,7.88,2.05,0.79,4.51,12.12,3.26,8.11
Rajratan Global,517522,RAJRATAN,Steel - Medium / Small,410.55,2084.40,35.45,3.73,11.18,237.49,11.18,169.38,1.56,-22.09,58.80,13.57,14.26,251.42,6.58,0.42,10.15,202.59,-2.99,-14.19
Rama Steel Tubes,539309,RAMASTEEL,Steel - Medium / Small,9.82,1526.25,66.71,4.34,9.96,95.83,9.96,2.75,30.54,33.02,22.88,2.97,12.40,275.17,4.20,0.27,155.42,317.11,9.42,-145.94
Rathi Bars,532918,,Steel - Medium / Small,34.15,55.77,15.11,0.58,3.87,66.09,3.87,54.52,23.78,15.62,3.69,2.54,6.30,110.53,1.96,0.69,16.33,119.83,11.36,-1.54
Rathi Steel,504903,,Steel - Medium / Small,30.43,262.80,45.15,1.95,14.87,36.88,14.87,35.35,4.87,122.40,5.82,3.83,17.12,104.43,1.53,0.28,85.06,26.07,10.97,98.47
Ratnamani Metals,520111,RATNAMANI,Steel - Medium / Small,2624.90,18398.45,34.85,5.59,21.63,265.27,18.22,893.18,30.09,31.07,527.95,15.44,27.72,1316.30,15.99,0.08,14.02,2272.38,302.19,172.81
Ratnaveer Precis,543978,RATNAVEER,Steel - Medium / Small,128.82,683.38,16.38,1.96,17.33,106.46,17.33,110.08,18.30,78.46,41.71,8.93,12.87,254.56,6.86,0.30,53.75,278.04,-53.53,-17.95
Remi Edelstahl,513043,,Steel - Medium / Small,91.66,100.66,26.08,2.24,3.24,29.00,3.24,56.87,12.57,94.13,3.86,6.49,5.53,42.91,1.65,0.65,10.98,53.03,-4.91,7.81
Rhetan TMT Ltd,543590,,Steel - Medium / Small,17.20,1370.63,252.42,14.88,4.44,16.57,4.44,1.33,7.53,209.92,5.43,17.15,6.50,6.38,3.42,0.18,79.69,86.62,5.71,-44.99
Riddhi Steel,540082,,Steel - Medium / Small,88.20,73.12,12.81,1.21,8.75,122.30,8.75,106.44,0.03,54.17,5.71,5.80,10.00,154.59,2.53,2.02,8.29,161.04,7.59,15.81
Rish.Digh.Steel,531539,,Steel - Medium / Small,52.90,29.02,2.54,1.59,-1.95,0.04,-1.95,125.08,,1.32,11.43,,-1.73,0.00,-1.65,0.00,5.49,16.05,17.33,-0.25
Rudra Global,539226,,Steel - Medium / Small,32.71,328.22,20.11,2.68,19.61,127.84,19.61,21.65,32.68,39.54,16.32,7.59,16.32,148.38,6.58,1.04,50.17,193.73,3.52,43.99
S A I L,500113,SAIL,Steel - Large,113.22,46765.81,16.01,0.81,6.44,41265.03,4.71,130.62,15.10,-4.47,2921.77,10.53,8.10,24489.91,2.65,0.72,4130.53,20663.89,-1296.65,-8812.24
S.A.L Steel,532604,SALSTEEL,Steel - Sponge Iron,18.71,158.97,30.34,3.51,1.12,125.00,1.12,5.62,24.21,-65.60,5.24,5.82,8.02,193.82,0.17,2.76,84.97,39.54,12.58,8.36
Salasar Techno,540642,SALASAR,Steel - Medium / Small,8.64,1491.93,30.45,2.12,12.44,370.60,12.44,5.19,26.53,21.33,49.00,9.26,15.69,375.18,5.13,0.53,172.68,648.73,-3.99,-69.46
Sarda Energy,504614,SARDAEN,Steel - Medium / Small,442.20,15582.30,22.93,2.63,14.11,2874.56,13.16,271.44,20.72,11.22,679.69,26.07,15.28,1319.14,8.98,0.48,35.24,2367.93,487.20,485.19
Sarthak Metals,540393,SMLT,Steel - Medium / Small,120.27,164.65,31.79,1.38,12.42,0.00,9.96,86.22,11.24,19.78,5.18,4.10,17.75,44.00,11.94,0.00,13.69,100.66,22.11,32.00
Sat Industries,511076,SATINDLTD,Steel - Medium / Small,78.87,891.90,18.57,1.32,12.80,39.68,12.63,75.43,34.70,88.97,48.03,17.23,14.45,157.30,8.95,0.06,22.62,578.30,-287.15,-37.47
Scan Steels,511672,,Steel - Medium / Small,37.05,217.12,9.00,0.53,4.57,98.41,4.57,84.80,9.66,-15.54,24.13,6.54,6.84,174.51,2.96,0.24,58.60,201.88,66.01,26.07
Sh. Bajrang All.,526981,,Steel - Medium / Small,167.05,150.35,4.18,0.48,14.59,72.16,14.59,561.58,38.67,10.00,35.97,0.85,1.76,107.23,10.31,0.23,9.00,64.36,-14.25,5.73
Sh. Steel Wire,513488,,Steel - Medium / Small,31.50,10.43,,0.77,-1.11,0.00,-1.11,,-10.65,,-0.01,1.90,-1.11,2.84,-0.97,0.00,3.31,6.98,0.20,1.74
Shah Alloys,513436,SHAHALLOYS,Steel - Medium / Small,58.59,116.01,,,-43.78,80.70,-43.78,,5.68,20.17,-14.69,-1.97,-5.46,51.90,-3.28,,19.80,-83.82,-3.39,43.23
Shah Metacorp,533275,SHAH,Steel - Medium / Small,3.04,180.54,19.82,1.14,11.35,6.18,11.35,6.41,97.40,27.18,9.11,6.03,4.94,39.86,3.30,0.04,59.39,121.16,-32.83,-7.05
Sharda Ispat,513548,,Steel - Medium / Small,273.35,138.86,12.91,2.51,31.27,26.64,31.27,227.81,33.69,73.50,10.76,6.91,31.02,54.36,20.37,0.48,5.08,77.24,7.31,-7.63
Shyam Metalics,543299,SHYAMMETL,Steel - Large,859.30,23985.80,26.43,2.35,12.07,1086.13,10.61,517.06,27.97,6.62,907.47,12.27,10.79,3752.51,7.86,0.11,278.04,1908.21,-93.43,-386.44
Steel Exchange,534748,STEELXIND,Steel - Medium / Small,8.09,991.78,24.24,1.48,1.85,380.81,1.85,6.46,6.51,-47.44,40.91,10.71,8.16,327.51,0.91,0.57,119.76,314.39,-97.24,124.04
Sunflag Iron,500404,SUNFLAG,Steel - Medium / Small,234.72,4230.11,26.15,0.61,3.37,603.40,3.37,278.84,21.77,0.69,161.78,10.86,5.69,892.00,2.40,0.09,180.22,838.63,118.92,109.47
Supershakti Met.,541701,,Steel - Medium / Small,369.50,425.86,32.76,1.62,5.49,2.06,5.25,240.32,24.75,2.90,13.00,2.44,7.85,347.33,4.30,0.01,11.53,29.71,1.45,54.47
Supreme Engg.,,SUPREMEENG,Steel - Medium / Small,2.00,49.99,,,,102.48,,,-28.93,,-11.04,-18.61,-21.77,4.74,-24.71,,25.00,2.80,4.78,8.54
